City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
2,Faanui,PF,83.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
3,Mahasamund,IN,73.4,haze,21.1,82.1,mauhari bhantha mahasamund
6,Rikitea,PF,79.97,light rain,-23.1203,-134.9692,Pension Maro'i
13,Boca Do Acre,BR,70.95,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
16,Hilo,US,71.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
23,Gboko,NG,77.0,overcast clouds,7.3179,8.9951,Bays Garden Hotel
25,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Mabaruma,GY,70.66,overcast clouds,8.2,-59.7833,NaN
27,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Antalaha,MG,73.54,few clouds,-14.9003,50.2788,Hotel Vitasoa
37,Conceicao Do Araguaia,BR,72.61,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
38,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
40,Victoria,HK,73.99,overcast clouds,22.2855,114.1577,Mini Hotel Central
42,Itarema,BR,75.56,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
45,Suleja,NG,73.4,few clouds,9.1758,7.1808,Capy Motel
48,Atuona,PF,80.06,broken clouds,-9.8,-139.0333,Villa Enata
51,Tabuk,PH,84.6,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
53,Bandarbeyla,SO,75.97,scattered clouds,9.4942,50.8122,JABIR HOTEL
55,Belmonte,BR,73.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
63,Le Vauclin,MQ,75.2,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
64,Hobart,AU,73.99,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
68,Gao,ML,76.1,overcast clouds,16.6362,1.6369999999999998,NaN
71,San Cristobal,VE,77.0,few clouds,7.7669,-72.225,Posada Villaven C.A.
75,Bubaque,GW,76.96,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
78,Sinnamary,GF,76.55,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
87,Santiago De Cao,PE,72.12,overcast clouds,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
91,Altamira,BR,71.46,clear sky,-3.2033,-52.2064,Requinte Hotel
96,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
97,Isangel,VU,81.14,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
99,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
100,Victor Harbor,AU,80.01,clear sky,-35.5667,138.6167,McCracken Country Club
101,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
102,Chuhar Kana,PK,71.6,smoke,31.75,73.8,King House
104,Yenagoa,NG,73.72,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
106,Hervey Bay,AU,80.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
107,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
108,Sao Joao Da Barra,BR,75.65,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
110,Aripuana,BR,71.46,overcast clouds,-9.1667,-60.6333,NaN
113,Salaya,IN,78.26,clear sky,22.3167,69.6,sumbhaiya suny Muslim Jama
