City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,81.0,89,40,10.36,light rain
1,Ushuaia,AR,-54.8,-68.3,48.2,71,75,28.77,broken clouds
2,Faanui,PF,-16.4833,-151.75,83.01,68,0,5.55,clear sky
3,Mahasamund,IN,21.1,82.1,73.4,64,40,5.75,haze
4,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,75,13.8,broken clouds
5,Vostok,RU,46.4856,135.8833,31.51,89,100,4.94,light snow
6,Rikitea,PF,-23.1203,-134.9692,79.97,73,88,4.47,light rain
7,Moose Factory,CA,51.2585,-80.6094,42.8,42,1,8.05,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,50.0,66,40,29.93,scattered clouds
9,Geraldton,AU,-28.7667,114.6,98.6,12,0,14.97,clear sky
10,Broome,US,42.2506,-75.833,35.01,100,1,1.54,clear sky
11,Watsa,CD,3.0372,29.5355,63.54,95,95,2.24,overcast clouds
12,Khatanga,RU,71.9667,102.5,-28.93,94,51,8.34,broken clouds
13,Boca Do Acre,BR,-8.7522,-67.3978,70.95,98,95,2.24,overcast clouds
14,Atar,MR,20.5169,-13.0499,66.47,17,0,10.0,clear sky
15,Mataura,NZ,-46.1927,168.8643,57.99,86,100,11.01,overcast clouds
16,Hilo,US,19.7297,-155.09,71.6,78,90,4.61,light rain
17,Albany,US,42.6001,-73.9662,42.8,36,1,5.32,clear sky
18,Bud,US,39.447,-86.1758,46.4,42,1,3.44,clear sky
19,Cape Town,ZA,-33.9258,18.4232,64.4,63,0,19.57,clear sky
20,Butaritari,KI,3.0707,172.7902,81.95,79,33,17.29,light rain
21,Katangli,RU,51.7102,143.2326,28.27,84,90,12.1,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,-7.78,97,100,2.57,overcast clouds
23,Gboko,NG,7.3179,8.9951,77.0,73,100,5.86,overcast clouds
24,Kruisfontein,ZA,-34.0033,24.7314,62.01,86,3,1.01,clear sky
25,Hithadhoo,MV,-0.6,73.0833,82.96,74,95,9.93,overcast clouds
26,Mabaruma,GY,8.2,-59.7833,70.66,91,93,2.89,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,78.01,91,61,3.0,broken clouds
